Date,hours_in_day,avail_time,focused_prop
2018-12-24,1.6666666666666667,8,0.21
2018-12-25,2.0833333333333335,8,0.26
2018-12-26,3.75,8,0.47
2018-12-27,1.6666666666666667,8,0.21
2018-12-28,2.5,8,0.31
2018-12-29,0.8333333333333334,8,0.1
2018-12-30,1.25,8,0.16
2018-12-31,0.4166666666666667,8,0.05
2019-01-01,0,8,0
2019-01-02,5,8,0.62
2019-01-03,5.416666666666667,8,0.68
2019-01-04,1.6666666666666667,8,0.21
2019-01-05,0.8333333333333334,8,0.1
2019-01-06,1.6666666666666667,8,0.21
2019-01-07,1.6666666666666667,8,0.21
2019-01-08,2.0833333333333335,8,0.26
2019-01-09,1.25,8,0.16
2019-01-10,0.4166666666666667,8,0.05
2019-01-11,0,8,0
2019-01-12,1.25,8,0.16
